,Unnamed: 0,iso_code,location,date,total_cases,total_deaths,stringency_index,population,gdp_per_capita,human_development_index,Country_RD,Area (sq. mi.),DATE_RD,DATE_CD,Country_CD,European Union,Area (km²),Population Density,DATE,Week_Num,Month,day,dayz,Dates,Wednesdays,CasesxArea,CasesxPop,DeathsxCases,AreaKM2,PopKM2,Stringency_Indexed,Country,Econ_Block
1760,12424,CZE,Czech Republic,2020-09-30,67843.0,636.0,38.89,10708982,32605.906,0.888,Czech Republic,78866.0,2020-09-30,2020-09-30,Czech Republic,Member,78866.0,134.0,2020-09-30,39,Sep,Wednesday,274,20200930,True,0.8602312783709076,0.0063351493167137,0.0,78866.0,135.78705652625973,2.0,Czech Republic,EU
1792,12645,COD,Democratic Republic of Congo,2020-09-30,10630.0,271.0,39.81,89561404,808.133,0.457,Democratic Republic of Congo,2345410.0,2020-09-30,,,,,,2020-09-30,39,Sep,Wednesday,274,20200930,True,,0.0001186895194273,0.0,,,2.0,,All_Others
1834,12939,DNK,Denmark,2020-09-30,27464.0,650.0,50.93,5792203,46682.515,0.929,Denmark,43094.0,2020-09-30,2020-09-30,Denmark,Member,43075.0,131.0,2020-09-30,39,Sep,Wednesday,274,20200930,True,0.6375856065002902,0.0047415465238355,0.0,43075.0,134.4678583865351,3.0,Denmark,EU
1864,13154,DJI,Djibouti,2020-09-30,5416.0,61.0,37.96,988002,2705.406,0.476,Djibouti,23000.0,2020-09-30,,,,,,2020-09-30,39,Sep,Wednesday,274,20200930,True,,0.0054817702798172,0.0,,,2.0,,All_Others
1894,13365,DMA,Dominica,2020-09-30,24.0,,25.0,71991,9673.367,0.715,Dominica,754.0,2020-09-30,,,,,,2020-09-30,39,Sep,Wednesday,274,20200930,True,,0.0003333750052089,,,,1.0,,All_Others
1936,13659,DOM,Dominican Republic,2020-09-30,111900.0,2101.0,75.93,10847904,14600.861,0.736,Dominican Republic,48730.0,2020-09-30,,,,,,2020-09-30,39,Sep,Wednesday,274,20200930,True,,0.0103153567730687,0.0,,,4.0,,All_Others
1978,13953,ECU,Ecuador,2020-09-30,135749.0,11312.0,48.61,17643060,10581.936,0.752,Ecuador,283560.0,2020-09-30,,,,,,2020-09-30,39,Sep,Wednesday,274,20200930,True,,0.0076941868360703,0.1,,,2.0,,All_Others
2020,14247,EGY,Egypt,2020-09-30,103079.0,5914.0,62.96,102334403,10550.206,0.696,Egypt,1001450.0,2020-09-30,,,,,,2020-09-30,39,Sep,Wednesday,274,20200930,True,,0.0010072761161268,0.1,,,3.0,,All_Others
2050,14462,SLV,El Salvador,2020-09-30,28981.0,843.0,52.78,6486201,7292.458,0.674,El Salvador,21040.0,2020-09-30,,,,,,2020-09-30,39,Sep,Wednesday,274,20200930,True,,0.0044681008189539,0.0,,,3.0,,All_Others
2081,14681,GNQ,Equatorial Guinea,2020-09-30,5030.0,83.0,,1402985,22604.873,0.591,Equatorial Guinea,28051.0,2020-09-30,,,,,,2020-09-30,39,Sep,Wednesday,274,20200930,True,,0.0035852129566602,0.0,,,,,All_Others
2111,14893,ERI,Eritrea,2020-09-30,375.0,,86.11,3546427,1510.459,0.44,Eritrea,121320.0,2020-09-30,,,,,,2020-09-30,39,Sep,Wednesday,274,20200930,True,,0.0001057402281225,,,,4.0,,All_Others
2153,15187,EST,Estonia,2020-09-30,3315.0,64.0,22.22,1326539,29481.252,0.871,Estonia,45226.0,2020-09-30,2020-09-30,Estonia,Member,45227.0,29.0,2020-09-30,39,Sep,Wednesday,274,20200930,True,0.0732969244035642,0.0024989841987306,0.0,45227.0,29.33068742123068,1.0,Estonia,EU
2184,15408,ETH,Ethiopia,2020-09-30,74584.0,1191.0,77.78,114963583,1729.927,0.463,Ethiopia,1127127.0,2020-09-30,,,,,,2020-09-30,39,Sep,Wednesday,274,20200930,True,,0.0006487619649084,0.0,,,4.0,,All_Others
2216,15636,FRO,Faeroe Islands,2020-09-30,463.0,,,48865,,,Faeroe Islands,1399.0,2020-09-30,,,,,,2020-09-30,39,Sep,Wednesday,274,20200930,True,,0.0094750844162488,,,,,,All_Others
2244,15835,FLK,Falkland Islands,2020-09-30,13.0,,,3483,,,Falkland Islands,4700.0,2020-09-30,,,,,,2020-09-30,39,Sep,Wednesday,274,20200930,True,,0.0037324145851277,,,,,,All_Others
2281,16099,FJI,Fiji,2020-09-30,32.0,2.0,48.15,896444,8702.975,0.741,Fiji,18270.0,2020-09-30,,,,,,2020-09-30,39,Sep,Wednesday,274,20200930,True,,3.5696596775704894e-05,0.1,,,2.0,,All_Others
2323,16393,FIN,Finland,2020-09-30,9892.0,343.0,32.41,5540718,40585.721,0.92,Finland,338145.0,2020-09-30,2020-09-30,Finland,Member,338424.0,16.0,2020-09-30,39,Sep,Wednesday,274,20200930,True,0.0292296054653334,0.0017853281830982,0.0,338424.0,16.372118998652578,2.0,Finland,EU
2365,16687,FRA,France,2020-09-30,550690.0,31893.0,46.76,65273512,38605.671,0.901,France,547030.0,2020-09-30,2020-09-30,France,Member,549087.0,121.0,2020-09-30,39,Sep,Wednesday,274,20200930,True,1.0029193916446757,0.008436653446807,0.1,549087.0,118.87644763033909,2.0,France,EU
2395,16902,PYF,French Polynesia,2020-09-30,1666.0,7.0,,280904,,,French Polynesia,4167.0,2020-09-30,,,,,,2020-09-30,39,Sep,Wednesday,274,20200930,True,,0.0059308518212627,0.0,,,,,All_Others
2426,17122,GAB,Gabon,2020-09-30,8752.0,54.0,66.67,2225728,16562.413,0.702,Gabon,267667.0,2020-09-30,,,,,,2020-09-30,39,Sep,Wednesday,274,20200930,True,,0.0039321965666963,0.0,,,3.0,,All_Others
2457,17338,GMB,Gambia,2020-09-30,3579.0,112.0,75.93,2416664,1561.767,0.46,Gambia,11300.0,2020-09-30,,,,,,2020-09-30,39,Sep,Wednesday,274,20200930,True,,0.001480967151412,0.0,,,4.0,,All_Others
2499,17632,GEO,Georgia,2020-09-30,5866.0,33.0,60.19,3989175,9745.079,0.78,Georgia,69700.0,2020-09-30,,,,,,2020-09-30,39,Sep,Wednesday,274,20200930,True,,0.0014704794851065,0.0,,,3.0,,All_Others
2541,17926,DEU,Germany,2020-09-30,289219.0,9488.0,49.54,83783945,45229.245,0.936,Germany,357021.0,2020-09-30,2020-09-30,Germany,Member,357021.0,227.0,2020-09-30,39,Sep,Wednesday,274,20200930,True,0.8100896025723977,0.0034519620674342,0.0,357021.0,234.6751171499716,2.0,Germany,EU
2572,18146,GHA,Ghana,2020-09-30,46482.0,301.0,44.44,31072945,4227.63,0.592,Ghana,239460.0,2020-09-30,,,,,,2020-09-30,39,Sep,Wednesday,274,20200930,True,,0.0014958994070243,0.0,,,2.0,,All_Others
2602,18360,GIB,Gibraltar,2020-09-30,391.0,,,33691,,,Gibraltar,7.0,2020-09-30,,,,,,2020-09-30,39,Sep,Wednesday,274,20200930,True,,0.0116054732717936,,,,,,All_Others
2644,18654,GRC,Greece,2020-09-30,18123.0,388.0,46.76,10423056,24574.382,0.87,Greece,131940.0,2020-09-30,2020-09-30,Greece,Member,131990.0,82.0,2020-09-30,39,Sep,Wednesday,274,20200930,True,0.1373058565042806,0.0017387414976951,0.0,131990.0,78.96852791878173,2.0,Greece,EU
2674,18868,GRL,Greenland,2020-09-30,14.0,,33.33,56772,,,Greenland,2166086.0,2020-09-30,,,,,,2020-09-30,39,Sep,Wednesday,274,20200930,True,,0.000246600436835,,,,2.0,,All_Others
2704,19079,GRD,Grenada,2020-09-30,24.0,,,112519,13593.877,0.772,Grenada,344.0,2020-09-30,,,,,,2020-09-30,39,Sep,Wednesday,274,20200930,True,,0.0002132973097876,,,,,,All_Others
2734,19294,GUM,Guam,2020-09-30,2443.0,47.0,66.67,168783,,,Guam,541.0,2020-09-30,,,,,,2020-09-30,39,Sep,Wednesday,274,20200930,True,,0.0144742065255387,0.0,,,3.0,,All_Others
2769,19540,GTM,Guatemala,2020-09-30,90968.0,3238.0,67.59,17915567,7423.808,0.65,Guatemala,108890.0,2020-09-30,,,,,,2020-09-30,39,Sep,Wednesday,274,20200930,True,,0.0050775953672021,0.0,,,3.0,,All_Others
2799,19754,GGY,Guernsey,2020-09-30,256.0,13.0,,67052,,,Guernsey,78.0,2020-09-30,,,,,,2020-09-30,39,Sep,Wednesday,274,20200930,True,,0.0038179323510111,0.1,,,,,All_Others
2830,19973,GIN,Guinea,2020-09-30,10634.0,66.0,55.09,13132792,1998.926,0.459,Guinea,245857.0,2020-09-30,,,,,,2020-09-30,39,Sep,Wednesday,274,20200930,True,,0.000809728807096,0.0,,,3.0,,All_Others
2859,20180,GNB,Guinea-Bissau,2020-09-30,2324.0,39.0,,1967998,1548.675,0.455,Guinea-Bissau,36120.0,2020-09-30,,,,,,2020-09-30,39,Sep,Wednesday,274,20200930,True,,0.0011808955090401,0.0,,,,,All_Others
2890,20399,GUY,Guyana,2020-09-30,2846.0,78.0,79.17,786559,7435.047,0.654,Guyana,214970.0,2020-09-30,,,,,,2020-09-30,39,Sep,Wednesday,274,20200930,True,,0.0036182918255337,0.0,,,4.0,,All_Others
2920,20613,HTI,Haiti,2020-09-30,8747.0,229.0,43.52,11402533,1653.173,0.498,Haiti,27750.0,2020-09-30,,,,,,2020-09-30,39,Sep,Wednesday,274,20200930,True,,0.0007671102552389,0.0,,,2.0,,All_Others
2951,20833,HND,Honduras,2020-09-30,76098.0,2323.0,84.26,9904608,4541.795,0.617,Honduras,112090.0,2020-09-30,,,,,,2020-09-30,39,Sep,Wednesday,274,20200930,True,,0.0076830905372529,0.0,,,4.0,,All_Others
2958,20890,HKG,Hong Kong,2020-09-30,,,59.26,7496988,56054.92,0.933,Hong Kong,1092.0,2020-09-30,,,,,,2020-09-30,39,Sep,Wednesday,274,20200930,True,,,,,,3.0,,All_Others
